Date,Close
4/14/2021 16:00:00,328.28
4/15/2021 16:00:00,322.75
4/16/2021 16:00:00,342
4/19/2021 16:00:00,333
4/20/2021 16:00:00,320.82
4/21/2021 16:00:00,311.92
4/22/2021 16:00:00,293.45
4/23/2021 16:00:00,291.6
4/26/2021 16:00:00,304.54
4/27/2021 16:00:00,302
4/28/2021 16:00:00,298.05
4/29/2021 16:00:00,294.77
4/30/2021 16:00:00,297.64
5/3/2021 16:00:00,294.21
5/4/2021 16:00:00,280.66
5/5/2021 16:00:00,273
5/6/2021 16:00:00,256.76
5/7/2021 16:00:00,263.7
5/10/2021 16:00:00,293.45
5/11/2021 16:00:00,303
5/12/2021 16:00:00,283.61
5/13/2021 16:00:00,265.1
5/14/2021 16:00:00,258.37
5/17/2021 16:00:00,248.24
5/18/2021 16:00:00,239
5/19/2021 16:00:00,224.8
5/20/2021 16:00:00,233.4
5/21/2021 16:00:00,224.35
5/24/2021 16:00:00,225.3
5/25/2021 16:00:00,242.41
5/26/2021 16:00:00,241.52
5/27/2021 16:00:00,247.09
5/28/2021 16:00:00,236.54
6/1/2021 16:00:00,238.93
6/2/2021 16:00:00,240.48
6/3/2021 16:00:00,233.66
