Date,Close
1/2/2020 16:00:00,141.09
1/3/2020 16:00:00,138.34
1/6/2020 16:00:00,138.23
1/7/2020 16:00:00,135.88
1/8/2020 16:00:00,136.94
1/9/2020 16:00:00,137.44
1/10/2020 16:00:00,136.07
1/13/2020 16:00:00,137.2
1/14/2020 16:00:00,138.8
1/15/2020 16:00:00,136.72
1/16/2020 16:00:00,137.25
1/17/2020 16:00:00,138.2
1/21/2020 16:00:00,136.84
1/22/2020 16:00:00,136.68
1/23/2020 16:00:00,136.54
1/24/2020 16:00:00,133.15
1/27/2020 16:00:00,132.03
1/28/2020 16:00:00,134.43
1/29/2020 16:00:00,134.23
1/30/2020 16:00:00,135.89
1/31/2020 16:00:00,132.36
2/3/2020 16:00:00,133.37
2/4/2020 16:00:00,135.29
2/5/2020 16:00:00,137.59
2/6/2020 16:00:00,137.61
2/7/2020 16:00:00,137.17
2/10/2020 16:00:00,137.74
2/11/2020 16:00:00,138
2/12/2020 16:00:00,138
2/13/2020 16:00:00,137.88
2/14/2020 16:00:00,137.46
2/18/2020 16:00:00,135.64
2/19/2020 16:00:00,137.49
2/20/2020 16:00:00,137.49
2/21/2020 16:00:00,135.81
2/24/2020 16:00:00,132.16
2/25/2020 16:00:00,126.26
2/26/2020 16:00:00,126.64
2/27/2020 16:00:00,121.37
2/28/2020 16:00:00,116.11
3/2/2020 16:00:00,121.52
3/3/2020 16:00:00,116.96
3/4/2020 16:00:00,119.85
3/5/2020 16:00:00,113.97
3/6/2020 16:00:00,108.08
3/9/2020 16:00:00,93.44
3/10/2020 16:00:00,100.7
3/11/2020 16:00:00,95.96
3/12/2020 16:00:00,88.05
3/13/2020 16:00:00,103.91
3/16/2020 16:00:00,88.36
3/17/2020 16:00:00,93.76
3/18/2020 16:00:00,83.89
3/19/2020 16:00:00,85.3
3/20/2020 16:00:00,83.5
3/23/2020 16:00:00,79.03
3/24/2020 16:00:00,88.43
3/25/2020 16:00:00,91.73
3/26/2020 16:00:00,98.12
3/27/2020 16:00:00,91.13
3/30/2020 16:00:00,93.5
3/31/2020 16:00:00,90.03
4/1/2020 16:00:00,84.36
4/2/2020 16:00:00,87.51
4/3/2020 16:00:00,84.05
4/6/2020 16:00:00,89.46
4/7/2020 16:00:00,90.64
4/8/2020 16:00:00,94.3
4/9/2020 16:00:00,102.76
4/13/2020 16:00:00,98.19
4/14/2020 16:00:00,95.5
4/15/2020 16:00:00,90.79
4/16/2020 16:00:00,87.33
4/17/2020 16:00:00,95.18
4/20/2020 16:00:00,91.71
4/21/2020 16:00:00,89.05
4/22/2020 16:00:00,89.34
4/23/2020 16:00:00,89.39
4/24/2020 16:00:00,90.71
4/27/2020 16:00:00,94.62
4/28/2020 16:00:00,95.29
4/29/2020 16:00:00,97.86
4/30/2020 16:00:00,95.76
5/1/2020 16:00:00,93.25
5/4/2020 16:00:00,92.14
5/5/2020 16:00:00,92
5/6/2020 16:00:00,90.27
5/7/2020 16:00:00,91.21
5/8/2020 16:00:00,92.7
5/11/2020 16:00:00,89.97
5/12/2020 16:00:00,87.03
5/13/2020 16:00:00,84.03
5/14/2020 16:00:00,87.52
5/15/2020 16:00:00,85.9
5/18/2020 16:00:00,90.45
5/19/2020 16:00:00,88.67
5/20/2020 16:00:00,91.33
5/21/2020 16:00:00,90.17
5/22/2020 16:00:00,89.47
5/26/2020 16:00:00,95.82
5/27/2020 16:00:00,101.37
5/28/2020 16:00:00,99.86
5/29/2020 16:00:00,97.31
6/1/2020 16:00:00,98.6
6/2/2020 16:00:00,98.93
6/3/2020 16:00:00,104.27
6/4/2020 16:00:00,106.44
6/5/2020 16:00:00,111.23
6/8/2020 16:00:00,113.45
6/9/2020 16:00:00,110.54
6/10/2020 16:00:00,106.06
6/11/2020 16:00:00,97.21
6/12/2020 16:00:00,99.87
6/15/2020 16:00:00,101.25
6/16/2020 16:00:00,102.06
6/17/2020 16:00:00,99.48
6/18/2020 16:00:00,98.94
6/19/2020 16:00:00,97.81
6/22/2020 16:00:00,96.75
6/23/2020 16:00:00,97.93
6/24/2020 16:00:00,94.66
6/25/2020 16:00:00,97.96
6/26/2020 16:00:00,92.59
6/29/2020 16:00:00,93
6/30/2020 16:00:00,94.06
7/1/2020 16:00:00,93.26
7/2/2020 16:00:00,92.66
7/6/2020 16:00:00,95
7/7/2020 16:00:00,92.32
7/8/2020 16:00:00,93.3
7/9/2020 16:00:00,91.28
7/10/2020 16:00:00,96.27
7/13/2020 16:00:00,97.65
7/14/2020 16:00:00,98.21
7/15/2020 16:00:00,99.73
7/16/2020 16:00:00,100.01
7/17/2020 16:00:00,98.16
7/20/2020 16:00:00,97.3
7/21/2020 16:00:00,99.41
7/22/2020 16:00:00,98.69
7/23/2020 16:00:00,98.98
7/24/2020 16:00:00,98.28
7/27/2020 16:00:00,96.9
7/28/2020 16:00:00,97.32
7/29/2020 16:00:00,99.68
7/30/2020 16:00:00,97.02
7/31/2020 16:00:00,96.64
8/3/2020 16:00:00,96.1
8/4/2020 16:00:00,95.55
8/5/2020 16:00:00,97.21
8/6/2020 16:00:00,97.24
8/7/2020 16:00:00,99.38
